Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
04.05.2017;GBPRUB_TOM;73,9725;73,92;75,515;75,4725;97;181185812,5;74,7158
05.05.2017;GBPRUB_TOM;75,99;75,25;75,99;75,25;84;294521797,5;75,6154
10.05.2017;GBPRUB_TOM;75,63;74,2925;75,63;74,3725;69;169787642,5;75,094
11.05.2017;GBPRUB_TOM;74,1025;73,3425;74,1025;73,5475;74;192302917,5;73,5947
12.05.2017;GBPRUB_TOM;73,6425;73,44;73,815;73,5075;35;55339007,5;73,5891
15.05.2017;GBPRUB_TOM;73,0975;72,6475;73,115;72,7825;71;137185447,5;72,8547
16.05.2017;GBPRUB_TOM;72,83;72,4875;73,03;73,03;55;75245867,5;72,7013
17.05.2017;GBPRUB_TOM;73,34;73,1875;74,02;74;61;175208905;73,7101
18.05.2017;GBPRUB_TOM;74,3075;74,3075;75,71;74,505;90;236020502,5;75,1658
19.05.2017;GBPRUB_TOM;74,3075;73,9075;74,3325;73,9875;57;115920965;74,2132
22.05.2017;GBPRUB_TOM;73,3075;73,2975;74;73,64;50;82401565;73,5728
23.05.2017;GBPRUB_TOM;73,41;73,05;73,68;73,0675;66;124053107,5;73,4477
24.05.2017;GBPRUB_TOM;72,9825;69,55;76,05;73,0975;121;364212015;72,5811
25.05.2017;GBPRUB_TOM;72,9075;72,75;73,7925;73,745;60;63383492,5;73,1911
26.05.2017;GBPRUB_TOM;73,04;72,33;73,4075;72,41;83;240423332,5;73,0548
29.05.2017;GBPRUB_TOM;72,78;72,305;72,8875;72,4975;60;59063115;72,6484
30.05.2017;GBPRUB_TOM;72,5875;72,35;73,0675;72,35;59;286013747,5;72,9255
31.05.2017;GBPRUB_TOM;72,6775;72,3825;73,435;73,3825;48;73969485;73,0202
01.06.2017;GBPRUB_TOM;72,7;72,4;72,9575;72,63;45;45585792,5;72,7046
02.06.2017;GBPRUB_TOM;72,9125;72,6625;73,15;72,9125;46;36088310;72,9057
05.06.2017;GBPRUB_TOM;72,875;72,8;73,36;73,215;50;353619125;73,2131
06.06.2017;GBPRUB_TOM;73,2;72,77;73,35;72,77;50;23413567,5;73,1674
07.06.2017;GBPRUB_TOM;72,93;72,93;73,9975;73,97;55;62766265;73,3251
08.06.2017;GBPRUB_TOM;73,96;73,4725;73,96;73,605;49;161394815;73,8649
09.06.2017;GBPRUB_TOM;72,9;72,26;72,9;72,6;108;98373860;72,4936
13.06.2017;GBPRUB_TOM;72,605;72,1225;72,675;72,675;71;111468027,5;72,3818
14.06.2017;GBPRUB_TOM;72,5;72,5;73,4025;73,285;88;76371772,5;72,9434
15.06.2017;GBPRUB_TOM;73,23;72,87;73,86;73,86;79;415069212,5;73,4246
16.06.2017;GBPRUB_TOM;73,72;73,3475;73,9125;73,81;52;199549900;73,6075
19.06.2017;GBPRUB_TOM;73,8;73,75;74,57;74,45;49;127960402,5;74,3956
20.06.2017;GBPRUB_TOM;74,71;74,275;75,4275;75,35;72;180540047,5;75,0686
21.06.2017;GBPRUB_TOM;75,5;75,28;76,445;76,3225;81;116735137,5;75,7037
22.06.2017;GBPRUB_TOM;76,4;75,57;76,4475;76,015;72;130482685;75,9503
23.06.2017;GBPRUB_TOM;76,11;75,5725;76,11;75,6475;51;157439237,5;75,8013
26.06.2017;GBPRUB_TOM;75,3975;74,81;75,4975;74,81;52;158711692,5;75,1832
27.06.2017;GBPRUB_TOM;75,0975;75,05;76,155;76,155;53;59311577,5;75,2685
28.06.2017;GBPRUB_TOM;75,9275;75,9275;77,35;76,7;63;43428482,5;76,5934
29.06.2017;GBPRUB_TOM;76,71;76,4675;77,44;77,255;42;20139307,5;76,8676
30.06.2017;GBPRUB_TOM;77,33;76,66;77,36;76,83;44;123956675;76,8485
03.07.2017;GBPRUB_TOM;76,58;76,575;77,0175;76,73;54;167029372,5;76,8658
04.07.2017;GBPRUB_TOM;76,95;76,4925;76,95;76,8125;58;48079372,5;76,6816
05.07.2017;GBPRUB_TOM;76,73;76,7275;77,92;77,58;95;156065102,5;77,4517
06.07.2017;GBPRUB_TOM;78;77,4;78,1;77,93;57;56976040;77,8361
07.07.2017;GBPRUB_TOM;78,1525;77,7875;78,22;77,8075;48;23556795;78,0026
10.07.2017;GBPRUB_TOM;77,65;77,555;78,5;77,76;56;88407867,5;77,6871
11.07.2017;GBPRUB_TOM;78,1975;78;78,6;78,07;83;55032702,5;78,2826
12.07.2017;GBPRUB_TOM;77,8375;77,2225;78,0625;77,35;65;138139442,5;77,7374
13.07.2017;GBPRUB_TOM;77,8;77,065;77,93;77,42;54;79977517,5;77,6481
14.07.2017;GBPRUB_TOM;77,6;76,98;77,6;77,49;49;34841040;77,2529
17.07.2017;GBPRUB_TOM;77,3325;77,0925;77,5925;77,5925;48;170293042,5;77,5116
18.07.2017;GBPRUB_TOM;77,8;76,71;77,9275;77,17;68;106557405;77,3837
19.07.2017;GBPRUB_TOM;77,22;76,79;77,22;76,79;41;53679852,5;77,0156
20.07.2017;GBPRUB_TOM;76,7725;76,3625;76,9625;76,48;58;34796400;76,6441
21.07.2017;GBPRUB_TOM;76,725;76,4775;77,13;77,13;50;43031282,5;76,8416
24.07.2017;GBPRUB_TOM;77,33;77,19;78,4475;78,1625;73;60770255;77,9106
25.07.2017;GBPRUB_TOM;78,1;77,8625;78,4575;78,1;44;34987170;78,0964
26.07.2017;GBPRUB_TOM;77,965;77,845;78,3275;77,87;49;94501842,5;78,0362
27.07.2017;GBPRUB_TOM;78,37;77,6475;78,92;77,7;65;58163207,5;78,1764
28.07.2017;GBPRUB_TOM;77,99;77,6125;78,2675;78,25;39;23870805;78,0092
31.07.2017;GBPRUB_TOM;78,4225;78,4225;79,34;79;67;153594225;78,7663
01.08.2017;GBPRUB_TOM;79,1625;78,9425;79,6275;79,6225;47;65728472,5;79,3822
02.08.2017;GBPRUB_TOM;80;79,97;80,45;80,0625;59;147640672,5;80,1524
03.08.2017;GBPRUB_TOM;80,3575;78,95;80,48;79,0275;67;78916617,5;79,7944
04.08.2017;GBPRUB_TOM;79,3575;78,025;79,4975;78,1375;82;187435615;78,8207
07.08.2017;GBPRUB_TOM;78,3425;78,0225;78,6825;78,16;38;27431245;78,375
08.08.2017;GBPRUB_TOM;78,1775;77,4625;78,3075;77,7675;70;59742510;77,8911
09.08.2017;GBPRUB_TOM;77,9675;77,8725;78,22;78,14;46;110295560;78,0577
10.08.2017;GBPRUB_TOM;77,82;77,6;78;78;47;322219752,5;77,7557
11.08.2017;GBPRUB_TOM;78,085;77,58;78,085;77,89;32;95526020;77,9168
14.08.2017;GBPRUB_TOM;77,79;77,37;77,8175;77,6;51;72561210;77,5227
15.08.2017;GBPRUB_TOM;77,5475;76,85;77,57;76,85;91;219320477,5;77,3072
16.08.2017;GBPRUB_TOM;76,7975;76,3025;76,9575;76,5975;66;97409402,5;76,64
17.08.2017;GBPRUB_TOM;76,55;76,0925;76,77;76,0925;83;496683132,5;76,401
18.08.2017;GBPRUB_TOM;76,4575;75,9075;76,6675;76,03;72;93099267,5;76,4362
21.08.2017;GBPRUB_TOM;76,0975;76,0125;76,2975;76,2675;43;50718857,5;76,1544
22.08.2017;GBPRUB_TOM;75,9225;75,6;75,9525;75,6875;56;62520550;75,7825
23.08.2017;GBPRUB_TOM;75,845;75,5;75,845;75,64;45;37079487,5;75,6724
24.08.2017;GBPRUB_TOM;75,6875;75,6875;75,92;75,75;44;15921500;75,8167
25.08.2017;GBPRUB_TOM;75,8;75,42;75,9775;75,42;69;51663955;75,7536
28.08.2017;GBPRUB_TOM;75,68;75,28;75,7475;75,5975;72;175578587,5;75,5827
29.08.2017;GBPRUB_TOM;75,76;75,76;76,3575;75,9675;53;51918655;76,1271
30.08.2017;GBPRUB_TOM;75,8575;75,4;75,9025;75,69;63;44462395;75,6163
31.08.2017;GBPRUB_TOM;75,765;74,8;75,765;74,9825;101;455657690;74,993
01.09.2017;GBPRUB_TOM;74,85;74,465;75,1725;74,475;71;236790227,5;74,7916
04.09.2017;GBPRUB_TOM;74,825;74,61;75,1;74,8;63;46146977,5;74,9139
05.09.2017;GBPRUB_TOM;75,4;74,47;75,4;75;57;60745905;74,8102
06.09.2017;GBPRUB_TOM;74,825;74,81;75,15;74,835;28;14920650;74,9781
07.09.2017;GBPRUB_TOM;74,7825;74,3925;74,7825;74,4775;59;42267572,5;74,546
